               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.020036,            0.030013,                   0,             0.98574,             0.98323,             0.99325,             0.77196,            0.018755,            0.032347,                   0,           0.0003565,           0.0003565,           0.0003565
                 132,            0.020041,            0.030149,                   0,             0.98586,             0.98309,             0.99326,             0.77194,            0.018752,            0.032336,                   0,          0.00035155,          0.00035155,          0.00035155
                 133,            0.020095,            0.030346,                   0,             0.98586,             0.98297,             0.99326,             0.77207,            0.018751,            0.032338,                   0,           0.0003466,           0.0003466,           0.0003466
                 134,            0.020125,             0.03012,                   0,             0.98566,             0.98248,             0.99319,             0.77195,            0.018746,            0.032332,                   0,          0.00034165,          0.00034165,          0.00034165
                 135,            0.020087,            0.030401,                   0,             0.98567,             0.98297,             0.99319,               0.772,             0.01874,            0.032326,                   0,           0.0003367,           0.0003367,           0.0003367
                 136,            0.020004,            0.030142,                   0,             0.98586,              0.9831,             0.99326,             0.77232,            0.018734,            0.032318,                   0,          0.00033175,          0.00033175,          0.00033175
                 137,            0.019826,            0.029963,                   0,              0.9857,             0.98266,             0.99326,             0.77251,            0.018731,            0.032316,                   0,           0.0003268,           0.0003268,           0.0003268
                 138,             0.01998,            0.030322,                   0,             0.98571,             0.98266,             0.99326,             0.77237,            0.018728,            0.032307,                   0,          0.00032185,          0.00032185,          0.00032185
                 139,            0.019977,            0.029985,                   0,             0.98605,             0.98316,             0.99328,             0.77252,            0.018725,            0.032304,                   0,           0.0003169,           0.0003169,           0.0003169
                 140,            0.019869,            0.030062,                   0,              0.9866,              0.9823,             0.99329,             0.77265,            0.018718,            0.032302,                   0,          0.00031195,          0.00031195,          0.00031195
                 141,            0.019911,            0.029788,                   0,              0.9866,             0.98225,             0.99329,             0.77287,            0.018712,            0.032295,                   0,            0.000307,            0.000307,            0.000307
                 142,            0.019868,            0.029714,                   0,             0.98641,             0.98226,             0.99323,             0.77267,            0.018705,            0.032287,                   0,          0.00030205,          0.00030205,          0.00030205
                 143,            0.019886,             0.03001,                   0,             0.98652,             0.98247,             0.99331,             0.77317,            0.018693,            0.032278,                   0,           0.0002971,           0.0002971,           0.0002971
                 144,            0.019776,            0.029935,                   0,             0.98655,             0.98247,             0.99332,              0.7734,            0.018688,            0.032281,                   0,          0.00029215,          0.00029215,          0.00029215
                 145,            0.019822,            0.030166,                   0,             0.98664,             0.98247,             0.99332,             0.77344,            0.018682,            0.032279,                   0,           0.0002872,           0.0002872,           0.0002872
                 146,            0.019743,            0.029935,                   0,              0.9866,             0.98266,             0.99326,             0.77372,            0.018676,             0.03227,                   0,          0.00028225,          0.00028225,          0.00028225
                 147,            0.019685,            0.029757,                   0,             0.98619,             0.98285,             0.99326,             0.77389,            0.018663,            0.032255,                   0,           0.0002773,           0.0002773,           0.0002773
                 148,            0.019743,             0.02974,                   0,             0.98661,             0.98269,             0.99328,             0.77423,             0.01865,            0.032241,                   0,          0.00027235,          0.00027235,          0.00027235
                 149,            0.019859,            0.030042,                   0,              0.9866,             0.98285,              0.9933,             0.77415,            0.018644,            0.032238,                   0,           0.0002674,           0.0002674,           0.0002674
                 150,            0.019608,            0.029667,                   0,             0.98642,               0.983,             0.99331,             0.77447,            0.018635,            0.032232,                   0,          0.00026245,          0.00026245,          0.00026245
                 151,            0.019739,            0.029957,                   0,             0.98661,             0.98288,             0.99333,             0.77435,            0.018628,             0.03222,                   0,           0.0002575,           0.0002575,           0.0002575
                 152,            0.019711,            0.029682,                   0,             0.98661,             0.98315,             0.99334,             0.77492,            0.018623,            0.032211,                   0,          0.00025255,          0.00025255,          0.00025255
                 153,             0.01965,             0.02987,                   0,             0.98679,             0.98342,             0.99337,             0.77504,            0.018622,            0.032209,                   0,           0.0002476,           0.0002476,           0.0002476
                 154,            0.019663,            0.029609,                   0,              0.9868,               0.983,             0.99337,              0.7752,            0.018619,            0.032203,                   0,          0.00024265,          0.00024265,          0.00024265
                 155,            0.019694,            0.029518,                   0,             0.98699,             0.98319,             0.99337,             0.77529,            0.018614,            0.032195,                   0,           0.0002377,           0.0002377,           0.0002377
                 156,            0.019536,            0.029474,                   0,             0.98681,             0.98392,             0.99337,             0.77592,            0.018602,            0.032169,                   0,          0.00023275,          0.00023275,          0.00023275
                 157,            0.019624,            0.029641,                   0,             0.98681,             0.98392,             0.99337,             0.77575,            0.018596,             0.03216,                   0,           0.0002278,           0.0002278,           0.0002278
                 158,            0.019678,            0.029613,                   0,             0.98678,             0.98399,             0.99339,             0.77632,            0.018588,            0.032152,                   0,          0.00022285,          0.00022285,          0.00022285
                 159,            0.019565,            0.029914,                   0,             0.98681,             0.98389,              0.9934,             0.77651,            0.018591,            0.032153,                   0,           0.0002179,           0.0002179,           0.0002179
                 160,            0.019562,            0.029429,                   0,             0.98682,              0.9841,             0.99339,             0.77615,            0.018587,            0.032154,                   0,          0.00021295,          0.00021295,          0.00021295
                 161,            0.019577,            0.029642,                   0,             0.98676,             0.98399,             0.99339,             0.77649,            0.018584,            0.032157,                   0,            0.000208,            0.000208,            0.000208
                 162,             0.01958,            0.029717,                   0,             0.98682,             0.98438,             0.99342,             0.77637,            0.018574,            0.032143,                   0,          0.00020305,          0.00020305,          0.00020305
                 163,            0.019368,            0.029283,                   0,             0.98681,             0.98476,             0.99343,             0.77628,            0.018564,            0.032124,                   0,           0.0001981,           0.0001981,           0.0001981
